date,driving,walking,transit
2020-05-22,5292.09,4441.34,1269.42
2020-05-23,4868.22,4007.29,1161.02
2020-05-24,4508.58,3429.41,1192.94
2020-05-25,4727.06,3948.98,1305.08
2020-05-26,4899.8,4149.66,1342.2
2020-05-27,5061.39,4323.87,1352.7
2020-05-28,5171.22,4267.04,1342.1
2020-05-29,5778.87,4705.14,1450.22
2020-05-30,5473.23,4622.67,1384.59
2020-05-31,5107.69,3990.72,1339.14
2020-06-01,5516.02,4615.4,1515.31
2020-06-02,5563.35,4735.93,1541.37
2020-06-03,5571.09,4694.72,1517.06
2020-06-04,5704.88,4705.16,1501.79
2020-06-05,6277.97,5032.17,1565.56
2020-06-06,6021.24,4958.31,1493.74
2020-06-07,5627.34,4217.66,1468.94
2020-06-08,5693,4658.1,1588.24
2020-06-09,5840.87,4890.25,1617.01
2020-06-10,6094.3,5013.52,1638.37
2020-06-11,6279.16,5200.99,1669.2
2020-06-12,6913.31,5774.54,1786.29
2020-06-13,6597.24,5507.5,1649.25
2020-06-14,6301.29,4483.6,1594.09
2020-06-15,6180.25,5139.78,1760.82
2020-06-16,6294.05,5315.3,1771.95
2020-06-17,6411.8,5294.6,1785.41
2020-06-18,6679.01,5435.29,1792.97
2020-06-19,7316.66,5937.36,1852.7
2020-06-20,6988.85,5627.01,1712.84
2020-06-21,6686.05,4798.66,1703.28
2020-06-22,6688.65,5529.66,1910.04
2020-06-23,6840.62,5731.69,1949.26
2020-06-24,7054.39,5843.84,2003.76
2020-06-25,7315.2,6092.35,2045.8
2020-06-26,8128.57,6601.16,2082.59
2020-06-27,7747.01,6339.68,1916.41
2020-06-28,7380.72,5264.07,1848.8
2020-06-29,7074.59,5843.27,2003.33
2020-06-30,7261.83,6053.45,2045.46
2020-07-01,7456.76,6277.1,2086.84
2020-07-02,7677.76,6400.07,2115.33
2020-07-03,8646.52,7054.2,2171.91
2020-07-04,8403.97,6976.75,2004.01
2020-07-05,8141.79,5940.15,1990.85
2020-07-06,7897.91,6586.52,2163.94
2020-07-07,7961.32,6956.64,2192.08
2020-07-08,8013.35,6878.49,2183.82
2020-07-09,8250.75,7075.45,2195.93
2020-07-10,9601.14,7637.13,2241.12
2020-07-11,8856.14,7302.53,2077.54
2020-07-12,8479.03,6381.38,2053.33
2020-07-13,8176.07,7081.9,2245.89
2020-07-14,8363.51,7297.57,2335.68
2020-07-15,8512.82,7425.59,2267.92
2020-07-16,8635.9,7410.38,2280.58
2020-07-17,9569.08,7963.57,2322.83
2020-07-18,9353.61,7819.68,2191.49
2020-07-19,8854.55,6658.48,2105.23
2020-07-20,8672.56,7443.49,2281.68
2020-07-21,8593.64,7521.3,2269.29
2020-07-22,8720.07,7518.44,2282.95
2020-07-23,8903.07,7591.71,2282.19
2020-07-24,9766.28,7886.35,2267.02
2020-07-25,9542.85,7988,2128.54
2020-07-26,8972.15,6721.5,2073.78
2020-07-27,8740.88,7490.88,2258.36
2020-07-28,8695.86,7515.24,2232.92
2020-07-29,8851.47,7575.58,2236.87
2020-07-30,8935.02,7490.65,2250.83
2020-07-31,9626.46,7728.22,2291.14
2020-08-01,9711.05,7909.35,2172.75
